9AVES	Aves
9CETA	Artiodactyla
9CHAR	Charadriiformes
9CHIR	Chiroptera
9PASS	Passeriformes
9PRIM	Primates
9SAUR	Sauropsida
ACIJB	Acinonyx jubatus
AILME	Ailuropoda melanoleuca
ALLMI	Alligator mississippiensis
ANAPP	Anas platyrhynchos platyrhynchos
ANSCY	Anser cygnoides
AOTNA	Aotus nancymaae
APTOW	Apteryx owenii
AQUCH	Aquila chrysaetos
AYTFU	Aythya fuligula
BALMU	Balaenoptera musculus
BOBOX	Bos indicus x Bos taurus
BOSMU	Bos mutus grunniens
BOVIN	Bos taurus
CAIMO	Cairina moschata
CALJA	Callithrix jacchus
CALNI	Caloenas nicobarica
CALUR	Callorhinus ursinus
CANLF	Canis lupus familiaris
CANLU	Canis lupus
CAPHI	Capra hircus
CARSF	Carlito syrichta
CASCN	Castor canadensis
CATUS	Catharus ustulatus
CAVPO	Cavia porcellus
CEBIM	Cebus imitator
CERAT	Cercocebus atys
CHEAB	Chelonoidis abingdonii
CHESE	Chelydra serpentina
CHILA	Chinchilla lanigera
CHLSB	Chlorocebus sabaeus
CHRAS	Chrysochloris asiatica
CHRPI	Chrysemys picta bellii
COLAP	Colobus angolensis palliatus
CRIGR	Cricetulus griseus
CROPO	Crocodylus porosus
DELLE	Delphinapterus leucas
DIPOR	Dipodomys ordii
ENHLU	Enhydra lutris
EQUAS	Equus asinus
ERIEU	Erinaceus europaeus
FELCA	Felis catus
FICAL	Ficedula albicollis
FUKDA	Fukomys damarensis
GEOPR	Geospiza parvula
GORGO	Gorilla gorilla gorilla
HETGA	Heterocephalus glaber
HIPAR	Hipposideros armiger
HORSE	Equus caballus
HUMAN	Homo sapiens
ICTTR	Ictidomys tridecemlineatus
JACJA	Jaculus jaculus
JUNHY	Junco hyemalis
LIMLA	Limosa lapponica
LIPVE	Lipotes vexillifer
LOXAF	Loxodonta africana
LYNPA	Lynx pardinus
MACMU	Macaca mulatta
MACNE	Macaca nemestrina
MANLE	Mandrillus leucophaeus
MARMA	Marmota marmota marmota
MARMO	Marmota monax
MESAU	Mesocricetus auratus
MICMU	Microcebus murinus
MICOH	Microtus ochrogaster
MOLMO	Molossus molossus
MONDO	Monodelphis domestica
MOSMO	Moschus moschiferus
MOUSE	Mus musculus
MUSPF	Mustela putorius furo
MUSSI	Mus spicilegus
MYOMY	Myotis myotis
NANGA	Nannospalax galili
NEOAA	Neophocaena asiaeorientalis asiaeorientalis
NEOLE	Neotoma lepida
NEOSC	Neomonachus schauinslandi
NEOVI	Neovison vison
NOMLE	Nomascus leucogenys
NYCPR	Nyctereutes procyonoides
OCTDE	Octodon degus
ODORO	Odobenus rosmarus divergens
ODOVR	Odocoileus virginianus
ORNAN	Ornithorhynchus anatinus
ORYAF	Orycteropus afer
OTOGA	Otolemur garnettii
PANLE	Panthera leo
PANPA	Pan paniscus
PANTR	Pan troglodytes
PAPAN	Papio anubis
PATFA	Patagioenas fasciata
PELSI	Pelodiscus sinensis
PERMB	Peromyscus maniculatus bairdii
PHACI	Phascolarctos cinereus
PHOSS	Phocoena sinus
PHYMC	Physeter macrocephalus
PIG	Sus scrofa
PIPKU	Pipistrellus kuhlii
PONAB	Pongo abelii
PROCO	Propithecus coquereli
PROSS	Prolemur simus
PTEAL	Pteropus alecto
PTEVA	Pteropus vampyrus
PUMCO	Puma concolor
RABIT	Oryctolagus cuniculus
RAT	Rattus norvegicus
RHIBE	Rhinopithecus bieti
RHIFE	Rhinolophus ferrumequinum
RHIRO	Rhinopithecus roxellana
ROUAE	Rousettus aegyptiacus
RYNNI	Rynchops niger
SAIBB	Saimiri boliviensis boliviensis
SAPAP	Sapajus apella
SARHA	Sarcophilus harrisii
SCIVU	Sciurus vulgaris
SOUCH	Sousa chinensis
STRHB	Strigops habroptila
STROC	Strix occidentalis
SURSU	Suricata suricatta
TERCA	Terrapene carolina
THEGE	Theropithecus gelada
TRIMA	Trichechus manatus
TURTR	Tursiops truncatus
UROPR	Urocitellus parryii
URSAM	Ursus americanus
URSMA	Ursus maritimus
VICPA	Vicugna pacos
VOMUR	Vombatus ursinus
VULVU	Vulpes vulpes
