BRAFL	Branchiostoma floridae
CHIPU	Chiloscyllium punctatum
CALMI	Callorhinchus milii
LEPOC	Lepisosteus oculatus
ANGAN	Anguilla anguilla
ANATE	Anabas testudineus
SERDU	Seriola dumerili
ECHNA	Echeneis naucrates
CYNSE	Cynoglossus semilaevis
SCOMX	Scophthalmus maximus
SPAAU	Sparus aurata
MOLML	Mola mola
TAKRU	Takifugu rubripes
TETNG	Tetraodon nigroviridis
ORYJA	Oryzias javanicus
ORYLA	Oryzias latipes
ORYME	Oryzias melastigma
NOTFU	Nothobranchius furzeri
KRYMA	Kryptolebias marmoratus
CYPVA	Cyprinodon variegatus
GAMAF	Gambusia affinis
POEFO	Poecilia formosa
POERE	Poecilia reticulata
XIPMA	Xiphophorus maculatus
SALFA	Salarias fasciatus
HAPBU	Haplochromis burtoni
NEOBR	Neolamprologus brichardi
OREAU	Oreochromis aureus
ORENI	Oreochromis niloticus
AMPCI	Amphilophus citrinellus
AMPOC	Amphiprion ocellaris
AMPPE	Amphiprion percula
HIPCM	Hippocampus comes
GADMO	Gadus morhua
ESOLU	Esox lucius
SALSA	Salmo salar
SALTR	Salmo trutta
ASTMX	Astyanax mexicanus
PYGNA	Pygocentrus nattereri
ELEEL	Electrophorus electricus
ICTPU	Ictalurus punctatus
SINGR	Sinocyclocheilus grahami
DANRE	Danio rerio
LATCH	Latimeria chalumnae
ORNAN	Ornithorhynchus anatinus
TACAU	Tachyglossus aculeatus
PROCA	Procavia capensis
LOXAF	Loxodonta africana
ECHTE	Echinops telfairi
RABIT	Oryctolagus cuniculus
DIPOR	Dipodomys ordii
FUKDA	Fukomys damarensis
HETGA	Heterocephalus glaber
CAVAP	Cavia aperea
CAVPO	Cavia porcellus
CHILA	Chinchilla lanigera
OCTDE	Octodon degus
JACJA	Jaculus jaculus
CRIGR	Cricetulus griseus
MOUSE	Mus musculus
RATNO	
NANGA	Nannospalax galili
ICTTR	Ictidomys tridecemlineatus
CERAT	Cercocebus atys
CHLSB	Chlorocebus sabaeus
MACFA	Macaca fascicularis
MACMU	Macaca mulatta
MACNE	Macaca nemestrina
MANLE	Mandrillus leucophaeus
PAPAN	Papio anubis
COLAP	Colobus angolensis palliatus
RHIBE	Rhinopithecus bieti
RHIRO	Rhinopithecus roxellana
GORGO	Gorilla gorilla gorilla
HUMAN	Homo sapiens
PANPA	Pan paniscus
PANTR	Pan troglodytes
PONAB	Pongo abelii
NOMLE	Nomascus leucogenys
AOTNA	Aotus nancymaae
CALJA	Callithrix jacchus
CEBIM	Cebus imitator
SAIBB	Saimiri boliviensis boliviensis
CARSF	Carlito syrichta
MICMU	Microcebus murinus
PROCO	Propithecus coquereli
OTOGA	Otolemur garnettii
BOBOX	Bos indicus x Bos taurus
BOVIN	Bos taurus
CAPHI	Capra hircus
SHEEP	Ovis aries
PIGXX	
BALMU	Balaenoptera musculus
TURTR	Tursiops truncatus
CANLF	Canis lupus familiaris
VULVU	Vulpes vulpes
MUSPF	Mustela putorius furo
AILME	Ailuropoda melanoleuca
URSAM	Ursus americanus
URSMA	Ursus maritimus
FELCA	Felis catus
SURSU	Suricata suricatta
PTEVA	Pteropus vampyrus
RHIFE	Rhinolophus ferrumequinum
MYOLU	Myotis lucifugus
ERIEU	Erinaceus europaeus
EQUAS	Equus asinus
HORSE	Equus caballus
CERSS	Ceratotherium simum simum
MANJA	Manis javanica
DASNO	Dasypus novemcinctus
SARHA	Sarcophilus harrisii
MONDO	Monodelphis domestica
NOTEU	Notamacropus eugenii
PHACI	Phascolarctos cinereus
VOMUR	Vombatus ursinus
CROPO	Crocodylus porosus
HALLE	Haliaeetus leucocephalus
FALTI	Falco tinnunculus
ANAPL	Anas platyrhynchos
ANAPP	Anas platyrhynchos platyrhynchos
MELGA	Meleagris gallopavo
CHICK	Gallus gallus
PHACC	Phasianus colchicus
CORMO	Corvus moneduloides
FICAL	Ficedula albicollis
PARMJ	Parus major
JUNHY	Junco hyemalis
TAEGU	Taeniopygia guttata
SERCA	Serinus canaria
CHLGU	Chloebia gouldiae
STRHB	Strigops habroptila
MELUD	Melopsittacus undulatus
ATHCN	Athene cunicularia
TYTAL	Tyto alba
CHRPI	Chrysemys picta bellii
CHEAB	Chelonoidis abingdonii
PELSI	Pelodiscus sinensis
SPHPU	Sphenodon punctatus
PODMU	Podarcis muralis
SALMN	Salvator merianae
VARKO	Varanus komodoensis
ANOCA	Anolis carolinensis
PSETE	Pseudonaja textilis
BUFBU	Bufo bufo
XENTR	Xenopus tropicalis
CIOIN	Ciona intestinalis
ACAPL	Acanthaster planci
PATMI	Patiria miniata
CAERE	Caenorhabditis remanei
IXOSC	Ixodes scapularis
MEGSC	Megaselia scalaris
HYDVU	Hydra vulgaris
