Accession	Description	Organism	Length
Q8TD16	Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1	Homo sapiens	824
Q8TD16-2	Isoform 2 of Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2	Homo sapiens	855
H2PSP8	BICD cargo adaptor 2 OS=Pongo abelii OX=9601 GN=BICD2 PE=3 SV=1	Pongo abelii	824
A0A8D2E9V2	BICD cargo adaptor 2 OS=Theropithecus gelada OX=9565 GN=BICD2 PE=3 SV=1	Theropithecus gelada	824
A0A096P241	BICD cargo adaptor 2 OS=Papio anubis OX=9555 GN=BICD2 PE=3 SV=1	Papio anubis	824
A0A2K5MUW1	BICD cargo adaptor 2 OS=Cercocebus atys OX=9531 GN=BICD2 PE=3 SV=1	Cercocebus atys	824
A0A2K6Q004	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	824
A0A8I5NTK6	BICD cargo adaptor 2 OS=Papio anubis OX=9555 GN=BICD2 PE=3 SV=1	Papio anubis	855
A0A2K5MV07	BICD cargo adaptor 2 OS=Cercocebus atys OX=9531 GN=BICD2 PE=3 SV=1	Cercocebus atys	855
A0A2K6K764	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	824
A0A2K6PZY9	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	855
A0A0D9R4A5	BICD cargo adaptor 2 OS=Chlorocebus sabaeus OX=60711 GN=BICD2 PE=3 SV=1	Chlorocebus sabaeus	824
A0A2K6K773	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	855
A0A2K6E714	BICD cargo adaptor 2 OS=Macaca nemestrina OX=9545 GN=BICD2 PE=3 SV=1	Macaca nemestrina	824
A0A8C9LZU8	BICD cargo adaptor 2 OS=Piliocolobus tephrosceles OX=591936 GN=BICD2 PE=3 SV=1	Piliocolobus tephrosceles	824
F6QN54	BICD cargo adaptor 2 OS=Macaca mulatta OX=9544 GN=BICD2 PE=2 SV=1	Macaca mulatta	824
A0A2K6E709	BICD cargo adaptor 2 OS=Macaca nemestrina OX=9545 GN=BICD2 PE=3 SV=1	Macaca nemestrina	855
A0A2K5E6H2	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	823
A0A2R9B6W5	BICD cargo adaptor 2 OS=Pan paniscus OX=9597 GN=BICD2 PE=3 SV=1	Pan paniscus	851
A0A2K6PZY6	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	849
A0A2K5E6E7	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	854
A0A2K6K7A7	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	849
A0A2K5E631	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	850
A0A6J3GEW3	Protein bicaudal D homolog 2 isoform X2 OS=Sapajus apella OX=9515 GN=BICD2 PE=3 SV=1	Sapajus apella	823
A0A2K5RC78	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	823
A0A6J3GEG5	Protein bicaudal D homolog 2 isoform X1 OS=Sapajus apella OX=9515 GN=BICD2 PE=3 SV=1	Sapajus apella	854
A0A2K5RC54	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	854
A0A8J8XD79	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	823
A0A5F7ZWW2	BICD cargo adaptor 2 OS=Macaca mulatta OX=9544 GN=BICD2 PE=3 SV=1	Macaca mulatta	882
A0A8I3XBE7	inositol-pentakisphosphate 2-kinase OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	1286
F7I792	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=3	Callithrix jacchus	835
A0A8C8ZD55	BICD cargo adaptor 2 OS=Prolemur simus OX=1328070 GN=BICD2 PE=3 SV=1	Prolemur simus	824
A0A8C8ZC52	BICD cargo adaptor 2 OS=Prolemur simus OX=1328070 GN=BICD2 PE=3 SV=1	Prolemur simus	853
A0A2K6ETP4	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	824
A0A2K6ETM8	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	834
