Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	SP	Q8TD16	Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1	Homo sapiens	824	4095	100.0	100.0	0.0
2	SP	Q8TD16-2	Isoform 2 of Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2	Homo sapiens	855	4092	99.9	100.0	0.0
3	TR	H2PSP8	BICD cargo adaptor 2 OS=Pongo abelii OX=9601 GN=BICD2 PE=3 SV=1	Pongo abelii	824	4079	99.6	99.8	0.0
4	TR	A0A8D2E9V2	BICD cargo adaptor 2 OS=Theropithecus gelada OX=9565 GN=BICD2 PE=3 SV=1	Theropithecus gelada	824	4064	99.2	99.3	0.0
5	TR	A0A096P241	BICD cargo adaptor 2 OS=Papio anubis OX=9555 GN=BICD2 PE=3 SV=1	Papio anubis	824	4064	99.2	99.3	0.0
6	TR	A0A2K5MUW1	BICD cargo adaptor 2 OS=Cercocebus atys OX=9531 GN=BICD2 PE=3 SV=1	Cercocebus atys	824	4064	99.2	99.3	0.0
7	TR	A0A2K6Q004	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	824	4062	99.2	99.3	0.0
8	TR	A0A8I5NTK6	BICD cargo adaptor 2 OS=Papio anubis OX=9555 GN=BICD2 PE=3 SV=1	Papio anubis	855	4061	99.0	99.3	0.0
9	TR	A0A2K5MV07	BICD cargo adaptor 2 OS=Cercocebus atys OX=9531 GN=BICD2 PE=3 SV=1	Cercocebus atys	855	4061	99.0	99.3	0.0
10	TR	A0A2K6K764	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	824	4059	99.0	99.3	0.0
11	TR	A0A2K6PZY9	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	855	4059	99.0	99.3	0.0
12	TR	A0A0D9R4A5	BICD cargo adaptor 2 OS=Chlorocebus sabaeus OX=60711 GN=BICD2 PE=3 SV=1	Chlorocebus sabaeus	824	4058	99.0	99.2	0.0
13	TR	A0A2K6K773	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	855	4056	98.9	99.3	0.0
14	TR	A0A2K6E714	BICD cargo adaptor 2 OS=Macaca nemestrina OX=9545 GN=BICD2 PE=3 SV=1	Macaca nemestrina	824	4054	98.8	99.0	0.0
15	TR	A0A8C9LZU8	BICD cargo adaptor 2 OS=Piliocolobus tephrosceles OX=591936 GN=BICD2 PE=3 SV=1	Piliocolobus tephrosceles	824	4054	99.0	99.2	0.0
16	TR	F6QN54	BICD cargo adaptor 2 OS=Macaca mulatta OX=9544 GN=BICD2 PE=2 SV=1	Macaca mulatta	824	4054	98.8	99.0	0.0
17	TR	A0A2K6E709	BICD cargo adaptor 2 OS=Macaca nemestrina OX=9545 GN=BICD2 PE=3 SV=1	Macaca nemestrina	855	4051	98.7	99.0	0.0
18	TR	A0A2K5E6H2	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	823	4046	99.0	99.0	0.0
19	TR	A0A2R9B6W5	BICD cargo adaptor 2 OS=Pan paniscus OX=9597 GN=BICD2 PE=3 SV=1	Pan paniscus	851	4045	99.2	99.3	0.0
20	TR	A0A2K6PZY6	BICD cargo adaptor 2 OS=Rhinopithecus roxellana OX=61622 GN=BICD2 PE=3 SV=1	Rhinopithecus roxellana	849	4045	98.8	99.0	0.0
21	TR	A0A2K5E6E7	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	854	4043	98.9	99.0	0.0
22	TR	A0A2K6K7A7	BICD cargo adaptor 2 OS=Rhinopithecus bieti OX=61621 GN=BICD2 PE=3 SV=1	Rhinopithecus bieti	849	4038	98.5	98.9	0.0
23	TR	A0A2K5E631	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	850	4038	99.0	99.0	0.0
24	TR	A0A6J3GEW3	Protein bicaudal D homolog 2 isoform X2 OS=Sapajus apella OX=9515 GN=BICD2 PE=3 SV=1	Sapajus apella	823	4036	98.8	98.8	0.0
25	TR	A0A2K5RC78	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	823	4035	98.7	98.8	0.0
26	TR	A0A6J3GEG5	Protein bicaudal D homolog 2 isoform X1 OS=Sapajus apella OX=9515 GN=BICD2 PE=3 SV=1	Sapajus apella	854	4033	98.7	98.8	0.0
27	TR	A0A2K5RC54	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	854	4032	98.5	98.8	0.0
28	TR	A0A8J8XD79	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	823	4015	98.4	98.5	0.0
29	TR	A0A5F7ZWW2	BICD cargo adaptor 2 OS=Macaca mulatta OX=9544 GN=BICD2 PE=3 SV=1	Macaca mulatta	882	4013	95.5	95.9	0.0
